bird,freq
abeillia_abeillei,17
abroscopus_albogularis,59
abroscopus_schisticeps,12
abroscopus_superciliaris,84
aburria_aburri,67
acanthagenys_rufogularis,69
acanthidops_bairdi,19
acanthis_cabaret,261
acanthis_flammea,495
acanthis_hornemanni,73
acanthisitta_chloris,28
acanthiza_apicalis,26
acanthiza_chrysorrhoa,28
acanthiza_cinerea,3
acanthiza_ewingii,18
acanthiza_inornata,10
acanthiza_iredalei,2
acanthiza_katherina,14
acanthiza_lineata,21
acanthiza_murina,5
acanthiza_nana,16
acanthiza_pusilla,83
acanthiza_reguloides,22
acanthiza_robustirostris,6
acanthiza_uropygialis,29
acanthorhynchus_superciliosus,5
acanthorhynchus_tenuirostris,45
acanthornis_magna,10
accipiter_albogularis,5
accipiter_badius,110
accipiter_bicolor,46
accipiter_brevipes,3
accipiter_chilensis,17
accipiter_chionogaster,9
accipiter_cirrocephalus,13
accipiter_collaris,4
accipiter_cooperii,164
accipiter_erythrauchen,3
accipiter_erythronemius,37
accipiter_erythropus,1
accipiter_fasciatus,29
accipiter_francesiae,13
accipiter_gentilis,637
accipiter_gularis,30
accipiter_gundlachi,2
accipiter_haplochrous,2
accipiter_henicogrammus,11
accipiter_henstii,10
accipiter_hiogaster,47
accipiter_madagascariensis,6
accipiter_melanochlamys,2
accipiter_melanoleucus,33
accipiter_minullus,24
accipiter_nanus,4
accipiter_nisus,169
accipiter_novaehollandiae,20
accipiter_ovampensis,8
accipiter_poliocephalus,1
accipiter_poliogaster,23
accipiter_rhodogaster,5
accipiter_rufitorques,3
accipiter_rufiventris,3
accipiter_soloensis,8
accipiter_striatus,32
accipiter_superciliosus,26
accipiter_tachiro,72
accipiter_toussenelii,13
accipiter_trinotatus,24
accipiter_trivirgatus,20
accipiter_ventralis,19
accipiter_virgatus,18
aceros_nipalensis,18
achaetops_pycnopygius,14
acheta_domesticus,5
acridotheres_albocinctus,1
acridotheres_burmannicus,20
acridotheres_cristatellus,42
acridotheres_fuscus,28
acridotheres_ginginianus,12
acridotheres_grandis,21
acridotheres_tristis,271
acritillas_indica,48
acrobatornis_fonsecai,16
acrocephalus_aequinoctialis,4
acrocephalus_agricola,74
acrocephalus_arundinaceus,817
acrocephalus_atyphus,9
acrocephalus_australis,65
acrocephalus_baeticatus,136
acrocephalus_bistrigiceps,122
