bird,audio,length,destination
bufpar,185679_0.wav,60.032,/datasets/xeno_canto/491_all/185679_0.wav
bufpar,654362.wav,28.760813,/datasets/xeno_canto/491_all/654362.wav
bufpar,561014.wav,14.49075,/datasets/xeno_canto/491_all/561014.wav
bufpar,691248.wav,43.688375,/datasets/xeno_canto/491_all/691248.wav
bufpar,4100_1.wav,15.305125,/datasets/xeno_canto/491_all/4100_1.wav
bufpar,118686.wav,11.78125,/datasets/xeno_canto/491_all/118686.wav
bufpar,4100_0.wav,60.032,/datasets/xeno_canto/491_all/4100_0.wav
bufpar,628858_1.wav,23.7688125,/datasets/xeno_canto/491_all/628858_1.wav
bufpar,498208.wav,8.939688,/datasets/xeno_canto/491_all/498208.wav
bufpar,218332.wav,15.09425,/datasets/xeno_canto/491_all/218332.wav
bufpar,616277.wav,12.245313,/datasets/xeno_canto/491_all/616277.wav
bufpar,185679_1.wav,9.061875,/datasets/xeno_canto/491_all/185679_1.wav
bufpar,628858_0.wav,60.032,/datasets/xeno_canto/491_all/628858_0.wav
bufpar,329846.wav,13.752,/datasets/xeno_canto/491_all/329846.wav
bufpar,124627.wav,10.032,/datasets/xeno_canto/491_all/124627.wav
bufpar,376037_0.wav,60.032,/datasets/xeno_canto/491_all/376037_0.wav
bufpar,15363.wav,27.219625,/datasets/xeno_canto/491_all/15363.wav
bufpar,616276.wav,22.016,/datasets/xeno_canto/491_all/616276.wav
bufpar,184565.wav,38.870188,/datasets/xeno_canto/491_all/184565.wav
bufpar,617977.wav,6.528,/datasets/xeno_canto/491_all/617977.wav
bufpar,488805_0.wav,60.032,/datasets/xeno_canto/491_all/488805_0.wav
bufpar,157481.wav,19.801875,/datasets/xeno_canto/491_all/157481.wav
bufpar,376037_1.wav,14.3125,/datasets/xeno_canto/491_all/376037_1.wav
bufpar,52744.wav,19.56575,/datasets/xeno_canto/491_all/52744.wav
bufpar,488805_1.wav,20.6031875,/datasets/xeno_canto/491_all/488805_1.wav
bufpar,114443.wav,6.269375,/datasets/xeno_canto/491_all/114443.wav
bufpar,430696.wav,53.629375,/datasets/xeno_canto/491_all/430696.wav
bufpar,218336.wav,22.890813,/datasets/xeno_canto/491_all/218336.wav
bufpar,218335.wav,6.905563,/datasets/xeno_canto/491_all/218335.wav
bufpar,430770.wav,6.958875,/datasets/xeno_canto/491_all/430770.wav
bufpar,351461.wav,20.63675,/datasets/xeno_canto/491_all/351461.wav
bufpar,415744_1.wav,31.1886875,/datasets/xeno_canto/491_all/415744_1.wav
bufpar,604986.wav,22.609688,/datasets/xeno_canto/491_all/604986.wav
bufpar,171674.wav,14.736,/datasets/xeno_canto/491_all/171674.wav
bufpar,299033.wav,13.128,/datasets/xeno_canto/491_all/299033.wav
bufpar,15942.wav,53.532,/datasets/xeno_canto/491_all/15942.wav
bufpar,415744_0.wav,60.032,/datasets/xeno_canto/491_all/415744_0.wav
bufpar,286599.wav,35.112,/datasets/xeno_canto/491_all/286599.wav
bufpar,687716.wav,27.898813,/datasets/xeno_canto/491_all/687716.wav
bufpar,419907.wav,6.25575,/datasets/xeno_canto/491_all/419907.wav
bufpar,218334.wav,20.392313,/datasets/xeno_canto/491_all/218334.wav
bufpar,352688.wav,13.062313,/datasets/xeno_canto/491_all/352688.wav
bufpar,218333.wav,28.451563,/datasets/xeno_canto/491_all/218333.wav
bufpar,691249.wav,7.163375,/datasets/xeno_canto/491_all/691249.wav
bufpar,418059.wav,5.877563,/datasets/xeno_canto/491_all/418059.wav
bufpar,108617.wav,44.120813,/datasets/xeno_canto/491_all/108617.wav
bufpar,1545.wav,12.277563,/datasets/xeno_canto/491_all/1545.wav
bufpar,273290.wav,16.561625,/datasets/xeno_canto/491_all/273290.wav
bufpar,443451.wav,10.39675,/datasets/xeno_canto/491_all/443451.wav
bufpar,144962.wav,15.699625,/datasets/xeno_canto/491_all/144962.wav
bufpar,344849.wav,37.616313,/datasets/xeno_canto/491_all/344849.wav
bufpar,115714.wav,34.128,/datasets/xeno_canto/491_all/115714.wav
bufpar,295578.wav,22.488,/datasets/xeno_canto/491_all/295578.wav
bufpar,9527.wav,10.701,/datasets/xeno_canto/491_all/9527.wav
bufpar,660097.wav,25.75675,/datasets/xeno_canto/491_all/660097.wav
bufpar,427050.wav,13.752,/datasets/xeno_canto/491_all/427050.wav
bufpar,84834.wav,15.36,/datasets/xeno_canto/491_all/84834.wav
bufpar,84835.wav,12.95675,/datasets/xeno_canto/491_all/84835.wav
bufpar,76446_0.wav,60.032,/datasets/xeno_canto/491_all/76446_0.wav
bufpar,702049_0.wav,60.032,/datasets/xeno_canto/491_all/702049_0.wav
bufpar,48713.wav,43.493875,/datasets/xeno_canto/491_all/48713.wav
bufpar,604270.wav,51.049063,/datasets/xeno_canto/491_all/604270.wav
bufpar,51676.wav,35.213063,/datasets/xeno_canto/491_all/51676.wav
bufpar,84833.wav,30.275938,/datasets/xeno_canto/491_all/84833.wav
bufpar,84832.wav,36.336313,/datasets/xeno_canto/491_all/84832.wav
bufpar,84831.wav,39.653875,/datasets/xeno_canto/491_all/84831.wav
bufpar,23453.wav,50.599188,/datasets/xeno_canto/491_all/23453.wav
bufpar,503398_0.wav,60.032,/datasets/xeno_canto/491_all/503398_0.wav
bufpar,653277.wav,20.062063,/datasets/xeno_canto/491_all/653277.wav
bufpar,503398_1.wav,60.032,/datasets/xeno_canto/491_all/503398_1.wav
bufpar,6690.wav,15.333875,/datasets/xeno_canto/491_all/6690.wav
bufpar,431939.wav,7.36475,/datasets/xeno_canto/491_all/431939.wav
bufpar,205632.wav,29.204938,/datasets/xeno_canto/491_all/205632.wav
bufpar,289905.wav,14.729188,/datasets/xeno_canto/491_all/289905.wav
bufpar,76446_1.wav,29.82925,/datasets/xeno_canto/491_all/76446_1.wav
bufpar,28409.wav,8.933875,/datasets/xeno_canto/491_all/28409.wav
bufpar,23469.wav,38.191,/datasets/xeno_canto/491_all/23469.wav
bufpar,95145.wav,55.04,/datasets/xeno_canto/491_all/95145.wav
bufpar,42068.wav,18.155125,/datasets/xeno_canto/491_all/42068.wav
bufpar,28729.wav,13.536,/datasets/xeno_canto/491_all/28729.wav
bufpar,39078.wav,33.54125,/datasets/xeno_canto/491_all/39078.wav
